text,intent
What is the meaning of word,ask_vocab
I don't understand this word,ask_vocab
Explain the word,ask_vocab
I don't understand this word,ask_vocab
Define word,ask_vocab
I don't understand this word,ask_vocab
Translate word,ask_vocab
I don't understand this word,ask_vocab
Nghĩa của từ word,ask_vocab
I don't understand this word,ask_vocab
What is the meaning of vocabulary,ask_vocab
I don't understand this vocabulary,ask_vocab
Explain the vocabulary,ask_vocab
I don't understand this vocabulary,ask_vocab
Define vocabulary,ask_vocab
I don't understand this vocabulary,ask_vocab
Translate vocabulary,ask_vocab
I don't understand this vocabulary,ask_vocab
Nghĩa của từ vocabulary,ask_vocab
I don't understand this vocabulary,ask_vocab
What is the meaning of phrase,ask_vocab
I don't understand this phrase,ask_vocab
Explain the phrase,ask_vocab
I don't understand this phrase,ask_vocab
Define phrase,ask_vocab
I don't understand this phrase,ask_vocab
Translate phrase,ask_vocab
I don't understand this phrase,ask_vocab
Nghĩa của từ phrase,ask_vocab
I don't understand this phrase,ask_vocab
What is the meaning of idiom,ask_vocab
I don't understand this idiom,ask_vocab
Explain the idiom,ask_vocab
I don't understand this idiom,ask_vocab
Define idiom,ask_vocab
I don't understand this idiom,ask_vocab
Translate idiom,ask_vocab
I don't understand this idiom,ask_vocab
Nghĩa của từ idiom,ask_vocab
I don't understand this idiom,ask_vocab
What is the meaning of slang,ask_vocab
I don't understand this slang,ask_vocab
Explain the slang,ask_vocab
I don't understand this slang,ask_vocab
Define slang,ask_vocab
I don't understand this slang,ask_vocab
Translate slang,ask_vocab
I don't understand this slang,ask_vocab
Nghĩa của từ slang,ask_vocab
I don't understand this slang,ask_vocab
How to use grammar,ask_grammar
Is this grammar correct?,ask_grammar
Explain grammar,ask_grammar
Is this grammar correct?,ask_grammar
Check my grammar,ask_grammar
Is this grammar correct?,ask_grammar
Tại sao dùng grammar,ask_grammar
Is this grammar correct?,ask_grammar
Cấu trúc grammar,ask_grammar
Is this grammar correct?,ask_grammar
How to use structure,ask_grammar
Is this structure correct?,ask_grammar
Explain structure,ask_grammar
Is this structure correct?,ask_grammar
Check my structure,ask_grammar
Is this structure correct?,ask_grammar
Tại sao dùng structure,ask_grammar
Is this structure correct?,ask_grammar
Cấu trúc structure,ask_grammar
Is this structure correct?,ask_grammar
How to use tense,ask_grammar
Is this tense correct?,ask_grammar
Explain tense,ask_grammar
Is this tense correct?,ask_grammar
Check my tense,ask_grammar
Is this tense correct?,ask_grammar
Tại sao dùng tense,ask_grammar
Is this tense correct?,ask_grammar
Cấu trúc tense,ask_grammar
Is this tense correct?,ask_grammar
How to use past simple,ask_grammar
Is this past simple correct?,ask_grammar
Explain past simple,ask_grammar
Is this past simple correct?,ask_grammar
Check my past simple,ask_grammar
Is this past simple correct?,ask_grammar
Tại sao dùng past simple,ask_grammar
Is this past simple correct?,ask_grammar
Cấu trúc past simple,ask_grammar
Is this past simple correct?,ask_grammar
How to use relative clause,ask_grammar
Is this relative clause correct?,ask_grammar
Explain relative clause,ask_grammar
Is this relative clause correct?,ask_grammar
Check my relative clause,ask_grammar
Is this relative clause correct?,ask_grammar
Tại sao dùng relative clause,ask_grammar
Is this relative clause correct?,ask_grammar
Cấu trúc relative clause,ask_grammar
Is this relative clause correct?,ask_grammar
I want to attack the monster,story_action
I will carefully attack the monster,story_action
attack the monster now!,story_action
I want to attack the door,story_action
I will carefully attack the door,story_action
attack the door now!,story_action
I want to attack the zombie,story_action
I will carefully attack the zombie,story_action
attack the zombie now!,story_action
I want to attack the chest,story_action
I will carefully attack the chest,story_action
attack the chest now!,story_action
I want to attack the wall,story_action
I will carefully attack the wall,story_action
attack the wall now!,story_action
I want to attack him,story_action
I will carefully attack him,story_action
attack him now!,story_action
I want to run away from the monster,story_action
I will carefully run away from the monster,story_action
run away from the monster now!,story_action
I want to run away from the door,story_action
I will carefully run away from the door,story_action
run away from the door now!,story_action
I want to run away from the zombie,story_action
I will carefully run away from the zombie,story_action
run away from the zombie now!,story_action
I want to run away from the chest,story_action
I will carefully run away from the chest,story_action
run away from the chest now!,story_action
I want to run away from the wall,story_action
I will carefully run away from the wall,story_action
run away from the wall now!,story_action
I want to run away from him,story_action
I will carefully run away from him,story_action
run away from him now!,story_action
I want to shoot the monster,story_action
I will carefully shoot the monster,story_action
shoot the monster now!,story_action
I want to shoot the door,story_action
I will carefully shoot the door,story_action
shoot the door now!,story_action
I want to shoot the zombie,story_action
I will carefully shoot the zombie,story_action
shoot the zombie now!,story_action
I want to shoot the chest,story_action
I will carefully shoot the chest,story_action
shoot the chest now!,story_action
